Combination,OIF
"3, 6, 7",45.91342410516412
"2, 6, 7",45.28253218270542
"4, 6, 7",44.27573334502217
"5, 6, 7",44.158114162551016
"2, 3, 7",42.73262640944484
"3, 5, 7",42.49441816301083
"2, 5, 7",42.06805514240649
"3, 4, 7",42.06226414888022
"2, 4, 7",41.253735736140825
"4, 5, 7",40.721691291627515
"1, 6, 7",39.82366849054833
"1, 3, 7",38.21457448762786
"1, 5, 7",37.95065099321351
"1, 2, 7",37.8116404687924
"1, 4, 7",36.7580237724305
"2, 3, 6",35.39646054531061
"3, 5, 6",34.55647950080176
"3, 4, 6",34.31594450516641
"2, 5, 6",34.15369300577985
"2, 4, 6",33.59773948706129
"4, 5, 6",32.52075823045954
"2, 3, 5",31.93871421209
"1, 3, 6",31.18055215530329
"2, 3, 4",31.067848937441674
"1, 2, 6",30.79304661140102
"3, 4, 5",30.617563509339778
"1, 5, 6",30.299314257666406
"2, 4, 5",30.079714881839347
"1, 4, 6",29.432447277366578
"1, 3, 5",28.755014670706938
"1, 2, 3",28.72964335324819
"1, 2, 5",28.483137998176037
"1, 3, 4",27.625649448562925
"1, 2, 4",27.122338015866106
"1, 4, 5",26.904196205556534
